abase,vt. 使…谦卑；降低…的品格；降低…的地位
fail to,"v. 未能；使…失望
"
fair play,"n. 按规则比赛；公平办事
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall short of,"na. “come short”的变体；“fall short”的变体
"
fall victim to,"v. 受害于
"
far from,"na. 远离；决不
"
fierce competition, 激烈竞争；激烈的竞争；竞争激烈
figure out,"na. 估计；解决；了解；〈口〉确定
"
fill in,"na. 填充；填写；同“fill”
"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
"
financial assistance, 财政资助；经济援助；经济资助
find fault with,"na. 吹毛求疵；找…的岔子
"
first impression, 第一印象；上指第一印象；最初的印象
flesh out,"na. 充实；使…具体化
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
for example,"na. 例如
"
for one thing,"na. 第一〔表示列举〕；原因之一是
"
for sure,"adv. 确实
"
for the most part,"na. 在极大程度上；就绝大部分而言；多半；基本上
"
for the sake of,"adv. 为了…起见
"
for the time being,"na. 暂时；一时；临时；在目前
"
formal education, 正规教育；正式教育；形式教育
from the bottom up,"na. 从一开始；彻底地
"
from time to time,"na. 时时
"
gain control over,无
get control over,vt.控制
have control over,"un. 掌握；控制
"
gain an advantage over,"胜过,优于"
have an advantage over,"na. 胜过
"
gain profit,"un. 得利益
"
make profit,"un. 谋利
"
gender inequality, 性别不平等；两性不平等；性属上不平等
get around to,"v. 找时间做
"
get round to,"v. 找时间做
"
get going,"na. 采取行动；出去；使某人发怒
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get into,"na. 进入；穿上；成癖；陷于
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give off,"na. 发散(水蒸气等)
"
give place to,"na. 让位于
"
give priority to,"na. 把优先权让给…
"
give rise to,"na. 惹起
"
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
go into action,"na. 开始行动；投入战斗
"
go into,"na. 进入；(门等)通着；加入；参与
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
graduate from,"v. 毕业于
"
grip on, 握住
grow out of,"na. 抛弃；戒除；长大而穿不上衣服；源出
"
hand in,"na. 交进
"
handful of,无
hardly ... when,几乎未来得及就…；刚一…就…
hardly ... before,刚一...就...
have an effect on,"na. 对…有影响
"
have no effect on,"un. 对…有作用；对…毫无影响；并不影响
"
have faith in,"na. 相信
"
have influence on, 对某物施加影响；对……产生影响；有影响
head for,"na. 走向
"
hint at,"v. 暗示；示意
"
historical prejudice,无
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
if anything,"na. 甚至可能；要说呢
"
if only,"na. 只要；只要…就好了
"
impose ... on,"v. 强迫；欺骗
"
in a row,"na. 成一排；连续
"
in addition to,"na. 加之
"
in addition,"na. 加之
"
in and out,"na. 迂曲；忽隐忽现
"
in any case,"na. 无论如何；横竖
"
in brief,"na. 简单地说
"
in broad daylight,"na. 在大白天
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in combination with,"na. 和…共同[结合,协同,协力,共谋]
"
in common,"un. 和…有相通之处；公有
"
in comparison with,"na. 和…比起来
"
in conflict, 有矛盾；不一致；发生冲突
in conjunction with,"na. 与…共同；连带着
"
in consequence,"na. 因此
"
in contrast with,"na. 和…成对比；和…大不相同
"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
"
in detail,"na. 详细
"
in effect,"na. 实际上；总之；有效
"
in high spirit,无
in keeping with,"na. 和…一致
"
in no time,"na. 立刻
"
in other words,"na. 换句话说
"
in part,"na. 一部份地；有几成；在某种程度上
"
in particular,"na. 特别；一一
"
in proportion,"un. 匀称；一分不多；按比例
"
in proportion to,"na. 与…成比例；与…相称；按…的比例(越…越…)
"
in question,"adj. 在谈论中
"
in response to,"na. 应…而
"
in search of,"na. 寻找；去找；追求；为了寻求
"
in short,"na. 简单地说；总之
"
in spite of,"na. spite of 不管；〔古语〕无视
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
in the case of,"na. 论到
"
in the course of,"na. 在…之中
"
in the form of,"na. 用…的形式
"
in the shape of,"na. 以…的形状；呈…的形状；以…的形式；作为…
"
in the grip of,"un. 控制自己的情绪；被捏在…里；在…控制之下；患了
"
in the interest of,"na. 为了…的利益
"
in the least,"adv. 全然
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
in the matter of,"na. 关于…；就…而论
"
in the past,"na. 在过去
"
in the short term, 从短期来说；短期内；从眼前的观点看
in the long term,"na. 从长期看
"
in the wake,紧跟，尾随；伴随而来；紧紧跟在…的后面；效仿；【海洋学】追随着前船的航迹(船驶过后留在水面的余迹)，跟在前船后面；随着…而来，作为…的结果
in the world,"na. 在世界上；究竟
"
in theory, 理论上；从理论上看；在理论上
in turn,"na. 挨次
"
in face of,"v. 当面对
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
in relation to,"na. 关于…
"
with relation to,"na. 关于…
"
incur criticism,无
interfere in,"v. 干涉
"
involve sb. in,"v. 卷入
"
keep secret,"na. 保守(某事)秘密
"
keep ... secret,"na. 保守(某事)秘密
"
keep a hold on,无
keep away from,"v. 远离
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep in mind,"na. 记在心里；记住；注意
"
keep one's eyes open,"na. 时刻提防；留神监视
"
keep one's ears open,"un. 私下；竖起耳朵听听
"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
"
keep up,"na. 支持；保持；继续；停歇
"
keep abreast of,"na. 跟着(时代)跑
"
be abreast of, 使不落后于
keep abreast with,"na. 跟着(时代)跑
"
be abreast with,(使)保持与…并列; 了解…的最新情况
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
know of,"v. 知道有
"
know about,"v. 知道
"
last hurrah,"na. 最后的努力[尝试]
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
lean on,"na. 靠在；倚赖；【军】据险(固守)
"
lean towards,"un. 倾向:
"
learn about,"v. 得知关于；学习关于
"
leave behind,"na. 遗留；留下；追过；留在后头
"
legitimate purpose,无
legitimate right, 合法权利；正当权利；合法的权利
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
"
lie in,"na. 存在于；(分娩后)坐月子
"
linger on,"na. 同“linger ”
"
live off,"na. 住在…之外；以…为生
"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
"
log in,"na. 进入电脑工作系统；“log on”的变体
"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
"
look back on,"v. 回顾
"
lump together,"na. 总计
"
make a complaint, 抱怨；投诉；提出投诉
make an effort,"na. 努力作出
"
make every effort,"na. 力求；费尽心血
"
make certain,"na. 保证
"
make compromises,妥协
make no difference,"un. 在意；没关系；没有差别；无动于衷
"
make nothing of,"na. 轻视；满不在乎；认为不在话下
"
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
make sure of,"na. 弄明白；将…拿到手；叮嘱明白；查明无误
"
make sure that,"查明, 弄确实, 弄清楚, 保证, 设法一定做到, 务必, 如此安排"
make up,"na. 弥补；起草；定；签订
"
mass transport system,无
massive attention,无
medical practitioner, 医生；执业医师；开业医生
meet with,"na. 碰见；遭遇；偶然发现；达到
"
minimum wage,"n. （法定的）最低工资
"
minority language,少数民族语言
monetary policy,"un. 金融政策
"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move forward,"na. 前进
"
move up,"na. 提上
"
negative effect,"n. 消极作用
"
negative influence, 消极作用；负面影响；负影响
neglect of, 疏忽；对…的疏忽
no doubt,"na. 无疑地；〈口〉很可能
"
no matter how,"na. 不管怎样
"
no matter what,"na. 不管怎什么
"
no matter when,"na. 不管怎什么时候
"
no more than,"na. 不过是；仅仅
"
nothing but,"na. 不外；〔美国〕〔加强语气〕的确
"
now and then, 偶尔；时而；不时
obstacle to, 纪念碑；障碍；的障碍
occur to, 想到；被想起；被想到
of no account,"na. 不重要的
"
on average, 平均；平均起来；通常
on the average,"na. 平均；一般说来
"
on an average,"na. 平均；一般说来
"
on behalf of,"na. 替；为…的利益
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on paper,"na. 纸上；统计上；理论上
"
on short notice,"na. 忽然；急忙；“at/on short notice”的变体
"
on the contrary,"na. 反之
"
on the road,"na. 在旅行中；〔美国〕(剧团等)在巡回演出中
"
on the side,"na. 顺便；作为副业；〔美口〕略略添上
"
on the spot,"na. 当场；立刻；【商业】用现货[现款]；(人)准备妥当
"
on the surface,"na. 表面上
"
on the whole,"na. 整体上说
"
once for all,"na. 只此一次；断然
"
once and for all,"ph. 一劳永逸地
"
only if ...,"conj. 只有当
"
only when, 只有当；除非；只有当…才能
original purpose,无
originate from,"v. 起源于；发源于
"
other than,"na. 与…不同；除了
"
out of hand,"na. 即时；脱手；告终；难对付
"
out of style,"na. 没有样子；“in/out of style”的变体
"
over time,"conj. 随着时间的过去
"
owe to,"v. 由于；把…归功于
"
package deal,"un. 〔经〕一揽子交易
"
part and parcel of sth.,"na. 重要[基本]部分；(…的)重要部分
"
part with,"na. 跟…分别；解雇；卖掉(东西)
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass on,"na. “pass away”的变体；递；传达；通过
"
patriotism ideology,无
pave the way for,"na. 为…铺平道路；使…容易到来
"
persist in,"v. 坚持
"
pick up,"v. 拾起；探出；重新开始
"
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
"
play a role in,"v. 起作用于
"
play with,"na. 玩弄(火等)；以…自娱
"
plough through,"un. 破浪航行
"
point of view,"n. 观点；态度；意见；看法
"
point out,"na. 指出
"
pose a challenge, 提出某种挑战；提出挑战
pose a threat to, 对…有一种威胁；对……构成威胁；对……造成威胁
pour into, 不断地[大量地]流进[涌进]; 注入; 灌注; 倾注
pour out,"v. 倾吐；诉说
"
prejudice against, 偏重；对……的偏见；对……偏见
preparation for, 准备；为…做的准备；为…做准备
primary language, 主语言；主要语言；主要语言文字种类
prior to,"adj. 前于
"
pursuit of,无
push aside,"v. 推开
"
push away,"na. 推开
"
put aside,"na. “set aside”的变体
"
put down to, 归因于；说…因而起；归因为
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put sth. into effect,"na. 实行
"
bring sth. into effect,"na. 使生效；使起作用；实行
"
put to use,"na. 用
"
racial discrimination,"n. 种族歧视
"
radical viewpoint,无
raise suspicion,无
range from A to B,无
rare bird, 珍禽；珍稀鸟类；奇异珍贵的宝物
rather than,"na. 而不
"
ready for, 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
recruit volunteers,无
refer to,"v. 查阅；提到
"
refer to ... as,"v. 提交；归类；称谓
"
reflect on,"v. 考虑；回想
"
regardless of,"prep. 不管；不顾；不理会
"
respond to,"v. 响应
"
rest on,"na. 被支持在…上；(目光等)停留在…上
"
rest upon,"na. 被支持在…上；(目光等)停留在…上
"
result in,"na. 终于(失败)
"
retreat from,"v. 放弃；撤退
"
return to,"v. 回到；返回；还给；降到
"
root in, 扎根于；来源于；起因于
root ... in, 扎根于；来源于；起因于
run dry,"na. 干涸；(奶,水等)不出；在干燥的情况下操作；(乳牛)不产奶
"
run for,"na. 去叫(…)；做…的候选人
"
run out,"na. 耗尽；用光；过有效期；失效
"
run over,"v. 轧过；碾过；演练；排练
"
rush through,"v. 匆匆完成
"
saturate ... with, 使充满；使饱和；使大量吸收或充满某物
scale back,"na. 相应缩减
"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
"
see to,"na. 注意；留心；当心；检查
"
send out,"na. “send forth”的变体
"
serve as,"v. 用作；充当
"
set off,"na. 分；分割；划开；区划
"
severe criticism,无
sharp criticism,无
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show up,"na. 显眼；揭发；嘲笑；露面
"
shut up,"na. 关住；监禁；密封；停止
"
side with,"v. 援助；偏袒
"
single currency, 单一货币；统一货币；这里指欧元
single out,"v. 挑选出；精选出
"
sink in,"un. 晕倒；西斜；渗入；打进心坎
"
skilled at,adj.精通...的
slacken off,"un. 松劲
"
snatch at,"v. 抓住
"
soak up,"v. 吸取
"
social conflict, 社会冲突；社会矛盾；社群冲突
social environment,"na. 社会环境
"
speculate about,"v. 思考
"
speculate on,"v. 思考
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
splash out, 挥霍；大肆挥霍；随意花钱
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
start with,"v. 以…开始
"
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
"
step up,"v. 加紧；走上前；登上；增加
"
stick to,"na. 忠于
"
stick with, 坚持；继续支持；坚持做
straight up,"un. 真的
"
stumble on,"un. 踌躇地转着；碰上
"
stumble upon,"un. 踌躇地转着；碰上
"
stumble across,"un. 踌躇地转着；偶然发现
"
subject to,"v. 处于…中；使服从
"
subscribe to,"v. 同意；赞成；订阅；定期捐款
"
substitute for,"v. 取代；替代
"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
survival of the fittest,"un. 最适者生存；适应生存
"
survival rate,"n. 成活率
"
swear to,"na. “swear”的变体
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take effect,"na. 有效验；生效
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take into account,"na. 考虑
"
take into consideration,"v. 顾及
"
take its toll, 造成损失；造成伤亡；伤害某人
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take on oneself, 主动承担；把归咎自己；把归咎自己擅自
take upon oneself,"na. 负担；毅然
"
take over,"na. 接管；继承
"
take pains,"na. 费苦心；尽力
"
take part in,"na. 参加；贡献
"
take root,"na. “strike root”的变体
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"na. 替换
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
take a nap,"na. 睡午觉；打一个瞌睡
"
get a nap,无
have a nap,"na. 睡午觉；打一个瞌睡
"
take ... to heart,"v. 非常关心
"
lay ... to heart,牢记
that is,"na. 即；用于纠正之前说过的内容
"
i.e.,"adv. 也就是
abbr. （拉丁）即（id est）"
the local culture,无
the prime objective,无
there and then,"na. “then and there”的变体
"
think highly of,"na. 尊重；评价极高
"
think poorly of,"na. 不佩服
"
think of ... as, 把…认为是；看作；把…当作
time zone,"n. 时区
"
to begin with,"na. 首先；本来〔插入语〕
"
to start with,"na. 首先
"
touch on,"na. 说到
"
treat to, 款待；招待；请客
tune in,"na. 调谐；收听；〔美国〕开始
"
tune in to sth.,"v. 拨；收听
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn back,"na. 同“turn down ”
"
turn off,"v. 关掉
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn the corner,"na. 转弯；度过危机；情形好转；拐过街角
"
view ... as ...,"把...看作..., 认为...是..."
virtual currency, 虚拟货币；虚拟货币发行；虚拟流通
vote for,"na. 赞成；〈口〉建议
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
watch over,"na. 监视；留心；看护
"
win over,"na. 争取过来
"
wish for,"v. 希望；想要
"
with respect to,"na. 〈正式〉考虑到
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
in regard to,"na. “in regard of”的变体
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
zeal for,"v. 热心于
"
