private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
footstep,n. 脚步；脚步声；足迹
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
explanation,n. 说明，解释；辩解
bad tempered,"adj. 暴躁的
"
furniture,n. 家具；设备；储藏物
honourable,adj. 荣誉的；值得尊敬的；表示尊敬的；正直的
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬；[金融] 承兑；承兑远期票据
"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠
"
